,date,rank,country,ct,points,previousPoints,flag
126,1992-12-31T00:00:00,128,Guyana,GUY,4,,https://api.fifa.com/api/v1/picture/flags-sq-4/guy
127,1992-12-31T00:00:00,129,Ukraine,UKR,4,,https://api.fifa.com/api/v1/picture/flags-sq-4/ukr
128,1992-12-31T00:00:00,130,Haiti,HAI,4,,https://api.fifa.com/api/v1/picture/flags-sq-4/hai
129,1992-12-31T00:00:00,131,Slovenia,SVN,3,,https://api.fifa.com/api/v1/picture/flags-sq-4/svn
130,1992-12-31T00:00:00,132,Estonia,EST,3,,https://api.fifa.com/api/v1/picture/flags-sq-4/est
131,1992-12-31T00:00:00,133,Bangladesh,BAN,3,,https://api.fifa.com/api/v1/picture/flags-sq-4/ban
132,1992-12-31T00:00:00,134,Mauritania,MTN,3,,https://api.fifa.com/api/v1/picture/flags-sq-4/mtn
133,1992-12-31T00:00:00,135,Cape Verde Islands,CPV,3,,https://api.fifa.com/api/v1/picture/flags-sq-4/cpv
134,1992-12-31T00:00:00,136,Solomon Islands,SOL,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/sol
135,1992-12-31T00:00:00,137,Libya,LBY,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/lby
136,1992-12-31T00:00:00,139,Botswana,BOT,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/bot
137,1992-12-31T00:00:00,140,Brunei Darussalam,BRU,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/bru
138,1992-12-31T00:00:00,141,Dominican Republic,DOM,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/dom
139,1992-12-31T00:00:00,142,Lesotho,LES,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/les
140,1992-12-31T00:00:00,143,India,IND,2,,https://api.fifa.com/api/v1/picture/flags-sq-4/ind
141,1992-12-31T00:00:00,144,Cuba,CUB,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/cub
142,1992-12-31T00:00:00,145,Pakistan,PAK,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/pak
143,1992-12-31T00:00:00,146,Belarus,BLR,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/blr
144,1992-12-31T00:00:00,147,Seychelles,SEY,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/sey
145,1992-12-31T00:00:00,148,Central African Republic,CTA,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/cta
146,1992-12-31T00:00:00,149,Nepal,NEP,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/nep
147,1992-12-31T00:00:00,150,Gambia,GAM,1,,https://api.fifa.com/api/v1/picture/flags-sq-4/gam
148,1992-12-31T00:00:00,151,Equatorial Guinea,EQG,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/eqg
149,1992-12-31T00:00:00,152,Myanmar,MYA,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/mya
150,1992-12-31T00:00:00,153,Liechtenstein,LIE,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/lie
151,1992-12-31T00:00:00,154,Nicaragua,NCA,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/nca
152,1992-12-31T00:00:00,155,Chad,CHA,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/cha
153,1992-12-31T00:00:00,156,Chinese Taipei,TPE,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe
154,1992-12-31T00:00:00,157,Philippines,PHI,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/phi
155,1992-12-31T00:00:00,158,Namibia,NAM,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/nam
156,1992-12-31T00:00:00,159,Vanuatu,VAN,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/van
157,1992-12-31T00:00:00,160,Aruba,ARU,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/aru
158,1992-12-31T00:00:00,161,Lebanon,LBN,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/lbn
159,1992-12-31T00:00:00,162,Bahamas,BAH,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/bah
160,1992-12-31T00:00:00,163,Maldives,MDV,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/mdv
161,1992-12-31T00:00:00,163,Rwanda,RWA,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/rwa
162,1992-12-31T00:00:00,163,Somalia,SOM,0,,https://api.fifa.com/api/v1/picture/flags-sq-4/som
